From	To
56474	PYRG2_HUMAN
7533	1433F_HUMAN
7533	Q9H4N8_HUMAN
23543	RFOX2_HUMAN
4242	MFNG_HUMAN
23764	MAFF_HUMAN
54471	MID51_HUMAN
54471	Q7L890_HUMAN
50	ACON_HUMAN
55629	PNRC2_HUMAN
2166	FAAH1_HUMAN
2166	Q9UG55_HUMAN
10878	FHR3_HUMAN
112970	KTI12_HUMAN
9528	D3DQ48_HUMAN
9528	TMM59_HUMAN
6278	S10A7_HUMAN
5733	B1AK19_HUMAN
5733	O00325_HUMAN
5733	PE2R3_HUMAN
10896	TISR_HUMAN
3932	LCK_HUMAN
113451	ADC_HUMAN
113451	B3KV62_HUMAN
113451	D3DPR0_HUMAN
5664	PSN2_HUMAN
51441	YTHD2_HUMAN
85397	RGS8_HUMAN
127700	OSCP1_HUMAN
64769	EAF6_HUMAN
5322	PA2G5_HUMAN
29914	UBIA1_HUMAN
1573	CP2J2_HUMAN
4194	MDM4_HUMAN
4194	Q59FS6_HUMAN
4194	Q68DC0_HUMAN
23432	GP161_HUMAN
3158	HMCS2_HUMAN
57134	MA1C1_HUMAN
57134	Q59G34_HUMAN
8416	ANXA9_HUMAN
55127	A2VDI1_HUMAN
55127	B2RWN5_HUMAN
55127	HEAT1_HUMAN
10969	EBP2_HUMAN
10969	H7C2Q8_HUMAN
10969	Q6IB29_HUMAN
55249	B4DQQ0_HUMAN
55249	I6L9C2_HUMAN
55249	YYAP1_HUMAN
10763	NEST_HUMAN
10763	Q9H6U9_HUMAN
10712	F189B_HUMAN
10712	Q9Y6J7_HUMAN
27129	HSPB7_HUMAN
79814	SPEB_HUMAN
22864	B7ZL65_HUMAN
22864	R3HD2_HUMAN
5016	OVGP1_HUMAN
5016	Q86YN0_HUMAN
2205	FCERA_HUMAN
84230	LRC8C_HUMAN
115352	FCRL3_HUMAN
339479	BRNP3_HUMAN
9898	B4DYY5_HUMAN
9898	F8W726_HUMAN
9898	UBP2L_HUMAN
51514	B4E0E6_HUMAN
51514	DTL_HUMAN
79573	E9PGV4_HUMAN
79573	TTC13_HUMAN
100505741	SPAT1_HUMAN
51506	UFC1_HUMAN
8703	A8K5Z0_HUMAN
8703	B4GT3_HUMAN
2268	FGR_HUMAN
2268	P78453_HUMAN
55735	DJC11_HUMAN
22977	ARK73_HUMAN
199974	CP4Z1_HUMAN
116461	B1ALV0_HUMAN
116461	E9PPN1_HUMAN
116461	SEN15_HUMAN
10380	B7Z9J7_HUMAN
10380	BPNT1_HUMAN
10380	V9HWF9_HUMAN
51430	B4DYM4_HUMAN
51430	SUCO_HUMAN
6274	S10A3_HUMAN
127833	SYT2_HUMAN
26750	B4DRK0_HUMAN
26750	F5H7T0_HUMAN
26750	KS6C1_HUMAN
9939	RBM8A_HUMAN
9202	ZMYM4_HUMAN
51249	TMM69_HUMAN
1999	ELF3_HUMAN
3688	ITB1_HUMAN
10730	YMEL1_HUMAN
29974	A1CF_HUMAN
29974	B4E1E3_HUMAN
55765	CA106_HUMAN
54541	DDIT4_HUMAN
4255	B4DEE8_HUMAN
4255	MGMT_HUMAN
1892	ECHM_HUMAN
23234	DNJC9_HUMAN
22947	DU4L2_HUMAN
22947	DU4L3_HUMAN
22947	DU4L5_HUMAN
22947	DU4L6_HUMAN
22947	DU4L7_HUMAN
114876	B0YJ56_HUMAN
114876	B3KU11_HUMAN
114876	OSBL1_HUMAN
114876	Q6GSK5_HUMAN
84665	MYPN_HUMAN
240	LOX5_HUMAN
51207	DS13A_HUMAN
51207	DS13B_HUMAN
51207	U3KQE1_HUMAN
9679	FA53B_HUMAN
1374	B2RAQ8_HUMAN
1374	CPT1A_HUMAN
1374	Q8WZ48_HUMAN
55267	PRR34_HUMAN
57175	COR1B_HUMAN
6343	SECR_HUMAN
5702	PRS6A_HUMAN
120071	B3KP69_HUMAN
120071	E9PIZ2_HUMAN
120071	LARG2_HUMAN
4725	NDUS5_HUMAN
4725	Q6IBA0_HUMAN
738	VPS51_HUMAN
113130	CDCA5_HUMAN
5970	TF65_HUMAN
246330	PELI3_HUMAN
3177	G5E943_HUMAN
3177	Q96FB2_HUMAN
3177	S29A2_HUMAN
3703	STT3A_HUMAN
10413	K0KVU2_HUMAN
10413	Q86T74_HUMAN
10413	YAP1_HUMAN
3606	IL18_HUMAN
7704	ZBT16_HUMAN
11181	TREA_HUMAN
53340	SP17_HUMAN
1982	IF4G2_HUMAN
1982	Q2TU89_HUMAN
51075	TMX2_HUMAN
374868	ATP9B_HUMAN
374868	B3KSI8_HUMAN
374868	Q69YZ7_HUMAN
374868	Q7Z3J4_HUMAN
64232	MS4A5_HUMAN
7439	B7Z1N8_HUMAN
7439	B7Z375_HUMAN
7439	BEST1_HUMAN
6094	ROM1_HUMAN
54979	HRSL2_HUMAN
25923	ATLA3_HUMAN
25923	B4DXC4_HUMAN
25923	F5H6I7_HUMAN
6150	RM23_HUMAN
27306	HPGDS_HUMAN
3611	B7Z1I0_HUMAN
3611	ILK_HUMAN
3611	V9HWF0_HUMAN
79324	O51G1_HUMAN
847	CATA_HUMAN
57758	SCUB2_HUMAN
51270	TFDP3_HUMAN
10873	B2R995_HUMAN
10873	MAON_HUMAN
10873	Q6TCH8_HUMAN
2735	B4DNF7_HUMAN
2735	GLI1_HUMAN
7637	ZNF84_HUMAN
1606	DGKA_HUMAN
1967	EI2BA_HUMAN
10576	TCPB_HUMAN
10576	V9HW96_HUMAN
7786	M3K12_HUMAN
94031	HTRA3_HUMAN
5781	PTN11_HUMAN
1240	CML1_HUMAN
50840	T2R14_HUMAN
51729	WBP11_HUMAN
89869	PLCZ1_HUMAN
282809	A0MNP0_HUMAN
282809	POC1B_HUMAN
6843	F5GZV7_HUMAN
6843	VAMP1_HUMAN
7450	VWF_HUMAN
56994	CHPT1_HUMAN
9625	H7C175_HUMAN
9625	LMTK1_HUMAN
4598	B2RDU6_HUMAN
4598	F5H8H2_HUMAN
4598	KIME_HUMAN
51463	GPHRA_HUMAN
51463	GPHRB_HUMAN
51463	X5D7G6_HUMAN
89894	Q9BWF8_HUMAN
89894	TM116_HUMAN
84274	COQ5_HUMAN
29951	B4DGD1_HUMAN
29951	PZRN4_HUMAN
29080	TAP26_HUMAN
55507	GPC5D_HUMAN
2251	FGF6_HUMAN
56890	B2RB22_HUMAN
56890	MDM1_HUMAN
55198	DP13B_HUMAN
94240	ESIP1_HUMAN
54841	BIVM_HUMAN
10129	FRY_HUMAN
7223	Q3KR50_HUMAN
7223	TRPC4_HUMAN
284207	METRL_HUMAN
1735	IOD3_HUMAN
1735	Q86TU3_HUMAN
87	ACTN1_HUMAN
122481	KAD7_HUMAN
256394	SPA11_HUMAN
4792	IKBA_HUMAN
5587	F8WBA3_HUMAN
5587	KPCD1_HUMAN
3714	JAG2_HUMAN
116173	CKLF5_HUMAN
1603	DAD1_HUMAN
1603	Q53G02_HUMAN
84659	RNAS7_HUMAN
9495	AKAP5_HUMAN
9495	Q6PG46_HUMAN
4990	Q6P051_HUMAN
4990	SIX6_HUMAN
9786	B4DYW5_HUMAN
9786	B7Z7W7_HUMAN
9786	TALD3_HUMAN
30001	ERO1A_HUMAN
79944	L2HDH_HUMAN
5663	PSN1_HUMAN
2353	FOS_HUMAN
2353	Q6FG41_HUMAN
2954	MAAI_HUMAN
9321	Q6MZL5_HUMAN
9321	TRIPB_HUMAN
283600	S2547_HUMAN
10169	SERF2_HUMAN
366	AQP9_HUMAN
342096	A2VDJ1_HUMAN
342096	GOG6A_HUMAN
8482	F5GYX3_HUMAN
8482	SEM7A_HUMAN
56906	THA10_HUMAN
4692	NECD_HUMAN
4692	X5D982_HUMAN
91433	RCCD1_HUMAN
4947	OAZ2_HUMAN
54360	CYTL1_HUMAN
51234	EMC4_HUMAN
9836	TYW4_HUMAN
56942	COXM2_HUMAN
2588	GALNS_HUMAN
2588	Q6YL38_HUMAN
2588	Q96I49_HUMAN
83716	CRLD2_HUMAN
58189	WFDC1_HUMAN
55794	DDX28_HUMAN
766	CAH7_HUMAN
113540	CKLF1_HUMAN
113540	E9PAX0_HUMAN
5336	PLCG2_HUMAN
2013	EMP2_HUMAN
5119	A6NG32_HUMAN
5119	CHM1A_HUMAN
6187	RS2_HUMAN
10607	TBL3_HUMAN
9727	RFIP3_HUMAN
55692	A8MYV2_HUMAN
55692	D3DU41_HUMAN
55692	LUC7L_HUMAN
55692	Q1W6G4_HUMAN
5713	PSMD7_HUMAN
11151	COR1A_HUMAN
6799	E9PKW4_HUMAN
6799	ST1A2_HUMAN
6477	SIAH1_HUMAN
83886	PRS27_HUMAN
28987	NOB1_HUMAN
583	BBS2_HUMAN
4502	MT2_HUMAN
23640	HPBP1_HUMAN
10328	EMC8_HUMAN
10328	Q53Y03_HUMAN
83449	PMFBP_HUMAN
2521	FUS_HUMAN
2521	Q13344_HUMAN
2521	Q6IBQ5_HUMAN
93129	ORAI3_HUMAN
5493	PEPL_HUMAN
4166	CHST6_HUMAN
116285	ACSM1_HUMAN
10801	SEPT9_HUMAN
51649	RT23_HUMAN
8834	TMM11_HUMAN
8557	A2TDC0_HUMAN
8557	TELT_HUMAN
6117	RFA1_HUMAN
84643	KIF2B_HUMAN
7732	RN112_HUMAN
5957	RECO_HUMAN
79777	ACBD4_HUMAN
79777	B4DJP3_HUMAN
79777	K7EM05_HUMAN
4222	MEOX1_HUMAN
476	AT1A1_HUMAN
5878	RAB5C_HUMAN
8913	CAC1G_HUMAN
3212	HXB2_HUMAN
9058	S13A2_HUMAN
6388	Q6IBU4_HUMAN
6388	SDF2_HUMAN
84940	B3KRY9_HUMAN
84940	B3KSZ9_HUMAN
84940	CORO6_HUMAN
9744	ACAP1_HUMAN
5034	PDIA1_HUMAN
7083	KITH_HUMAN
5158	B4DHV7_HUMAN
5158	PDE6B_HUMAN
83896	KRA31_HUMAN
3881	K1H1_HUMAN
8392	OR3A3_HUMAN
79959	B4DP81_HUMAN
79959	CEP76_HUMAN
4864	NPC1_HUMAN
5874	RB27B_HUMAN
89777	Q3SYB4_HUMAN
89777	SPB12_HUMAN
6632	SMD1_HUMAN
2109	ETFB_HUMAN
5518	2AAA_HUMAN
5518	A8K7B7_HUMAN
25799	Z324A_HUMAN
54807	ZN586_HUMAN
7771	Q0VG01_HUMAN
7771	ZN112_HUMAN
973	CD79A_HUMAN
53637	S1PR5_HUMAN
147744	TM190_HUMAN
55101	AT5SL_HUMAN
84167	CS044_HUMAN
84167	M0R2B3_HUMAN
143187	VTI1A_HUMAN
84922	FIZ1_HUMAN
51231	VRK3_HUMAN
2523	FUT1_HUMAN
2523	Q6IZA2_HUMAN
6820	ST2B1_HUMAN
54958	TM160_HUMAN
7705	OZF_HUMAN
56301	AAA1_HUMAN
84699	CR3L3_HUMAN
84699	M0QYW7_HUMAN
9698	PUM1_HUMAN
27134	ZO3_HUMAN
83983	TSSK6_HUMAN
1340	CX6B1_HUMAN
26658	OR7C2_HUMAN
66002	CP4FC_HUMAN
8612	LPP2_HUMAN
2701	CXA4_HUMAN
4701	NDUA7_HUMAN
51276	A8K5U8_HUMAN
51276	ZN571_HUMAN
63892	THADA_HUMAN
116987	AGAP1_HUMAN
116987	B2RZG9_HUMAN
116987	X5D293_HUMAN
7855	FZD5_HUMAN
92935	SYMM_HUMAN
2043	E9PG71_HUMAN
2043	EPHA4_HUMAN
2043	Q58F15_HUMAN
8576	STK16_HUMAN
1653	A3RJH1_HUMAN
1653	DDX1_HUMAN
8708	B3GT1_HUMAN
23141	ANKL2_HUMAN
23141	F5H2H5_HUMAN
84908	B0AZT6_HUMAN
84908	F136A_HUMAN
151525	D3DPA6_HUMAN
151525	WSDU1_HUMAN
7841	MOGS_HUMAN
7841	Q58F09_HUMAN
84141	EVA1A_HUMAN
2492	FSHR_HUMAN
22845	DOLK_HUMAN
51255	RN181_HUMAN
7096	TLR1_HUMAN
55821	ALLC_HUMAN
55821	B4DY77_HUMAN
129446	XIRP2_HUMAN
2274	FHL2_HUMAN
2274	J3KNW4_HUMAN
2274	Q2XQU9_HUMAN
2274	Q6I9R8_HUMAN
10096	ARP3_HUMAN
10096	B4DXW1_HUMAN
114880	OSBL6_HUMAN
51646	YPEL5_HUMAN
55233	MOB1A_HUMAN
55686	MREG_HUMAN
60598	KCNKF_HUMAN
6385	SDC4_HUMAN
112858	PRPK_HUMAN
57167	SALL4_HUMAN
196463	F5H5E2_HUMAN
196463	PLBL2_HUMAN
551	NEU2_HUMAN
551	X5DQP6_HUMAN
5621	APRIO_HUMAN
5621	PRIO_HUMAN
5621	Q53YK7_HUMAN
631	B7Z999_HUMAN
631	B7ZAD2_HUMAN
631	BFSP1_HUMAN
3642	INSM1_HUMAN
140732	SUN5_HUMAN
22913	Q53GL6_HUMAN
22913	RALY_HUMAN
