From	To
51507	B4DXL5_HUMAN
51507	RTF2_HUMAN
6331	E9PG18_HUMAN
6331	E9PHB6_HUMAN
6331	H9KVD2_HUMAN
6331	K4DIA1_HUMAN
6331	Q86V90_HUMAN
6331	SCN5A_HUMAN
51497	H0UI80_HUMAN
51497	NELFD_HUMAN
10388	Q8IWA1_HUMAN
10388	SYCP2_HUMAN
57761	TRIB3_HUMAN
140885	SHPS1_HUMAN
55968	NSF1C_HUMAN
55968	Q53FE8_HUMAN
994	B3KS38_HUMAN
994	B4DIG0_HUMAN
994	B4DQZ3_HUMAN
994	B4DRC3_HUMAN
994	E1YMX4_HUMAN
994	G8JLH2_HUMAN
994	MPIP2_HUMAN
994	Q6MZW8_HUMAN
51605	TRM6_HUMAN
182	JAG1_HUMAN
182	Q99740_HUMAN
128817	CST1L_HUMAN
55251	PCMD2_HUMAN
4661	MYT1_HUMAN
203190	LGI3_HUMAN
84701	COX42_HUMAN
84701	H6SG14_HUMAN
598	B2CL1_HUMAN
598	Q5TE63_HUMAN
55902	ACSA_HUMAN
55902	Q4G0E8_HUMAN
55902	Q6DKJ3_HUMAN
55902	Q96FY7_HUMAN
794	A6NER6_HUMAN
794	CALB2_HUMAN
2937	GSHB_HUMAN
2937	V9HWJ1_HUMAN
3692	IF6_HUMAN
55245	Q3KRB6_HUMAN
55245	UQCC1_HUMAN
8204	A8K171_HUMAN
8204	NRIP1_HUMAN
9510	ATS1_HUMAN
9510	Q8NE26_HUMAN
571	BACH1_HUMAN
571	Q6ICU0_HUMAN
94104	PAXB1_HUMAN
94104	Q8N6E6_HUMAN
10215	OLIG2_HUMAN
3455	INAR2_HUMAN
3455	Q9BUA0_HUMAN
54093	A8MTS1_HUMAN
54093	SETD4_HUMAN
6493	SIM2_HUMAN
1859	DYR1A_HUMAN
1859	F8WAP0_HUMAN
54014	BRWD1_HUMAN
1826	DSCAM_HUMAN
1826	Q8WY19_HUMAN
755	CU002_HUMAN
9282	MED14_HUMAN
104	Q4AE77_HUMAN
104	RED1_HUMAN
80781	COIA1_HUMAN
80781	D3DSM4_HUMAN
80781	D3DSM5_HUMAN
23275	OFUT2_HUMAN
3275	ANM2_HUMAN
4047	B2R694_HUMAN
4047	ERG7_HUMAN
4731	NDUV3_HUMAN
27443	B7WPH3_HUMAN
27443	CECR2_HUMAN
1649	DDIT3_HUMAN
1649	Q53YD1_HUMAN
6899	D9ZGG0_HUMAN
6899	Q152R5_HUMAN
6899	TBX1_HUMAN
54487	DGCR8_HUMAN
55004	LTOR1_HUMAN
83999	KREM1_HUMAN
5988	RFPL1_HUMAN
6525	B4DI56_HUMAN
6525	B4E229_HUMAN
6525	SMTN_HUMAN
3985	LIMK2_HUMAN
164656	TMPS6_HUMAN
11015	ERD23_HUMAN
9145	SNG1_HUMAN
2847	MCHR1_HUMAN
2847	Q5IFI4_HUMAN
150365	MEI1_HUMAN
150365	Q4G0I1_HUMAN
55964	SEPT3_HUMAN
91689	EMRE_HUMAN
5372	PMM1_HUMAN
255758	TC1D2_HUMAN
10762	NUP50_HUMAN
2192	FBLN1_HUMAN
2192	Q8NBH6_HUMAN
5465	F1D8S4_HUMAN
5465	PPARA_HUMAN
23209	MLC1_HUMAN
1237	CCR8_HUMAN
7342	A8KAN5_HUMAN
7342	UBIP1_HUMAN
2960	T2EA_HUMAN
7584	B4DUB8_HUMAN
7584	ZNF35_HUMAN
4976	E5KLJ5_HUMAN
4976	E5KLJ6_HUMAN
4976	E5KLJ7_HUMAN
4976	E5KLJ9_HUMAN
4976	E5KLK0_HUMAN
4976	E5KLK1_HUMAN
4976	E5KLK2_HUMAN
4976	OPA1_HUMAN
9209	A8MXR0_HUMAN
9209	LRRF2_HUMAN
4134	MAP4_HUMAN
9039	UBA3_HUMAN
57406	ABHD6_HUMAN
2317	FLNB_HUMAN
5357	PLSI_HUMAN
7048	A3QNQ0_HUMAN
7048	D2JYI1_HUMAN
7048	TGFR2_HUMAN
54861	SNRK_HUMAN
4820	NKTR_HUMAN
4241	Q53XS6_HUMAN
4241	TRFM_HUMAN
590	CHLE_HUMAN
590	D3DNN4_HUMAN
7318	UBA7_HUMAN
64332	IKBZ_HUMAN
1618	DAZL_HUMAN
117248	B3KT16_HUMAN
117248	C9JGI4_HUMAN
117248	GLT15_HUMAN
8292	COLQ_HUMAN
23225	PO210_HUMAN
4968	E5KPM5_HUMAN
4968	E5KPM6_HUMAN
4968	E5KPM7_HUMAN
4968	E5KPM8_HUMAN
4968	E5KPM9_HUMAN
4968	E5KPN0_HUMAN
4968	E5KPN1_HUMAN
4968	OGG1_HUMAN
25917	THUM3_HUMAN
10752	CHL1_HUMAN
3827	KNG1_HUMAN
25886	POC1A_HUMAN
4591	A8K0V9_HUMAN
4591	A8K8U4_HUMAN
4591	F8WEE6_HUMAN
4591	TRI37_HUMAN
54859	C9IYN7_HUMAN
54859	ELP6_HUMAN
25930	B4DST5_HUMAN
25930	PTN23_HUMAN
79443	FYCO1_HUMAN
22908	SAC1_HUMAN
23395	SYLM_HUMAN
24142	NAT6_HUMAN
24142	Q6IAP1_HUMAN
9942	B4DDT2_HUMAN
9942	XYLB_HUMAN
55764	B3KUD1_HUMAN
55764	B3KW53_HUMAN
55764	B4DPW7_HUMAN
55764	B4DST2_HUMAN
55764	E7EQF4_HUMAN
55764	E9PDG2_HUMAN
55764	H7C3C0_HUMAN
55764	IF122_HUMAN
55764	Q8TC06_HUMAN
55764	Q9NV68_HUMAN
29927	B3KME8_HUMAN
29927	B3KNF6_HUMAN
29927	S61A1_HUMAN
956	ENTP3_HUMAN
51246	F8W9N8_HUMAN
51246	SHSA5_HUMAN
84129	ACD11_HUMAN
7018	A0PJA6_HUMAN
7018	Q06AH7_HUMAN
7018	TRFE_HUMAN
151613	Q69YS0_HUMAN
151613	Q86TA5_HUMAN
151613	TTC14_HUMAN
23200	AT11B_HUMAN
23200	B4DKX1_HUMAN
23200	B4E3T1_HUMAN
5868	RAB5A_HUMAN
79718	TBL1R_HUMAN
50852	TRAT1_HUMAN
9730	VPRBP_HUMAN
64084	CSTN2_HUMAN
7037	A8K6Q8_HUMAN
7037	TFR1_HUMAN
6434	TRA2B_HUMAN
89857	KLHL6_HUMAN
347736	TXND6_HUMAN
11167	FSTL1_HUMAN
64422	ATG3_HUMAN
868	B3KSS7_HUMAN
868	CBLB_HUMAN
55773	TBC23_HUMAN
3064	HD_HUMAN
2868	GRK4_HUMAN
9662	CP135_HUMAN
2250	FGF5_HUMAN
2250	Q8NBG6_HUMAN
2261	FGFR3_HUMAN
2261	Q0IJ44_HUMAN
2261	X5D2G8_HUMAN
10460	TACC3_HUMAN
2994	GLPB_HUMAN
55863	B4DP48_HUMAN
55863	T126B_HUMAN
3347	HIS3_HUMAN
10720	UDB11_HUMAN
9948	V9HWG7_HUMAN
9948	WDR1_HUMAN
56606	GTR9_HUMAN
84068	NTCP7_HUMAN
54940	OCAD1_HUMAN
23022	B2RTX2_HUMAN
23022	PALLD_HUMAN
84708	LNX1_HUMAN
9987	HNRDL_HUMAN
58497	PRUNE_HUMAN
55345	ZGRF1_HUMAN
79982	DJB14_HUMAN
8929	PHX2B_HUMAN
117581	TWST2_HUMAN
56916	SMRCD_HUMAN
11174	ATS6_HUMAN
11174	Q5IR90_HUMAN
2246	A8K147_HUMAN
2246	FGF1_HUMAN
2246	Q16089_HUMAN
9812	DELE_HUMAN
56133	PCDB2_HUMAN
56133	Q4KMG6_HUMAN
10409	BASP1_HUMAN
84340	RRF2M_HUMAN
84135	UTP15_HUMAN
831	B7Z468_HUMAN
831	B7Z6N0_HUMAN
831	E7EQ12_HUMAN
831	E7EQA0_HUMAN
831	E7ESM9_HUMAN
831	E9PCH5_HUMAN
831	E9PDE4_HUMAN
831	ICAL_HUMAN
831	Q59HE3_HUMAN
831	Q86YM9_HUMAN
2149	PAR1_HUMAN
2149	Q2TNB2_HUMAN
3101	HXK3_HUMAN
22838	B4DYE0_HUMAN
22838	RNF44_HUMAN
1456	KC1G3_HUMAN
79026	AHNK_HUMAN
79026	B4DTV0_HUMAN
79026	Q9BVU3_HUMAN
23262	B4DGV1_HUMAN
23262	VIP2_HUMAN
5066	AMD_HUMAN
9542	F5GZS7_HUMAN
9542	NRG2_HUMAN
3565	D4HNR6_HUMAN
3565	IL4_HUMAN
3565	Q5FC01_HUMAN
27089	QCR8_HUMAN
51247	PAIP2_HUMAN
51247	Q49AE6_HUMAN
9863	MAGI2_HUMAN
84651	ISK7_HUMAN
8992	VA0E1_HUMAN
730	CO7_HUMAN
730	Q05CI3_HUMAN
25836	NIPBL_HUMAN
84466	MEG10_HUMAN
51808	PHAX_HUMAN
133522	B7ZM40_HUMAN
133522	PRGC2_HUMAN
1004	CADH6_HUMAN
2201	FBN2_HUMAN
4869	NPM_HUMAN
23291	B4DH70_HUMAN
23291	FBW1B_HUMAN
6690	ISK1_HUMAN
1958	EGR1_HUMAN
1958	Q546S1_HUMAN
80254	CEP63_HUMAN
10434	B4DP64_HUMAN
10434	LYPA1_HUMAN
10434	Q6IAQ1_HUMAN
5980	DPOLZ_HUMAN
5980	Q9UG47_HUMAN
1300	COAA1_HUMAN
1303	COCA1_HUMAN
1268	CNR1_HUMAN
1268	S5TLS4_HUMAN
1268	V5KA96_HUMAN
57038	H0UI22_HUMAN
57038	SYRM_HUMAN
4082	MARCS_HUMAN
59084	B4DHN2_HUMAN
59084	ENPP5_HUMAN
139760	GP119_HUMAN
266977	A0PJH0_HUMAN
266977	GP110_HUMAN
9789	SPCS2_HUMAN
2939	A8K987_HUMAN
2939	GSTA2_HUMAN
1992	ILEU_HUMAN
1992	V9HWH1_HUMAN
55770	EXOC2_HUMAN
26147	B7Z887_HUMAN
26147	B7Z8H3_HUMAN
26147	F5H8K3_HUMAN
26147	PHF19_HUMAN
3662	IRF4_HUMAN
54346	UN93A_HUMAN
2739	LGUL_HUMAN
2739	X5DNM4_HUMAN
5961	PRPH2_HUMAN
29964	PRIC4_HUMAN
8364	B2R4R0_HUMAN
8364	H4_HUMAN
64288	Q96QL1_HUMAN
64288	ZSC31_HUMAN
2880	GPX5_HUMAN
2880	V9HWN8_HUMAN
116511	MAS1L_HUMAN
116511	W8W3J1_HUMAN
7726	TRI26_HUMAN
10211	B4DVY7_HUMAN
10211	FLOT1_HUMAN
10211	Q5ST80_HUMAN
199	AIF1_HUMAN
199	I3WTX1_HUMAN
199	Q4V347_HUMAN
10919	A2ABF8_HUMAN
10919	A2ABF9_HUMAN
10919	B7Z852_HUMAN
10919	EHMT2_HUMAN
5089	PBX2_HUMAN
6222	RS18_HUMAN
51596	CUTA_HUMAN
5467	F1D8S7_HUMAN
5467	PPARD_HUMAN
81491	A8K1C4_HUMAN
81491	GPR63_HUMAN
80321	B7Z2D2_HUMAN
80321	CEP70_HUMAN
26235	FBXL4_HUMAN
6492	SIM1_HUMAN
3097	ZEP2_HUMAN
10492	B7Z645_HUMAN
10492	HNRPQ_HUMAN
10492	Q59GL1_HUMAN
1906	EDN1_HUMAN
1906	Q6FH53_HUMAN
55022	PCLI1_HUMAN
3720	JARD2_HUMAN
54516	RF1ML_HUMAN
25902	B2RD24_HUMAN
25902	B7ZM99_HUMAN
25902	C1TM_HUMAN
8857	FCGBP_HUMAN
64065	PERP_HUMAN
10370	CITE2_HUMAN
10370	D9ZGF1_HUMAN
11231	SEC63_HUMAN
55227	LRRC1_HUMAN
9589	FL2D_HUMAN
9729	K0408_HUMAN
55862	ECHD1_HUMAN
5420	PODXL_HUMAN
5420	Q96N83_HUMAN
95681	CEP41_HUMAN
51530	NIPA_HUMAN
50617	VPP4_HUMAN
29062	WDR91_HUMAN
51667	H3BM14_HUMAN
51667	H3BM74_HUMAN
51667	NUB1_HUMAN
10061	ABCF2_HUMAN
55253	TYW1_HUMAN
10049	DNJB6_HUMAN
246721	RPB1B_HUMAN
2768	E9PC54_HUMAN
2768	GNA12_HUMAN
2768	Q6ZQV4_HUMAN
8621	CDK13_HUMAN
8621	Q9BVE2_HUMAN
27072	VPS41_HUMAN
1395	CRFR2_HUMAN
55033	FKB14_HUMAN
5879	A4D2P0_HUMAN
5879	A4D2P1_HUMAN
5879	RAC1_HUMAN
3382	ICA69_HUMAN
3382	Q96HG3_HUMAN
9883	P121A_HUMAN
9031	BAZ1B_HUMAN
2006	B3KRT8_HUMAN
2006	B4E3S4_HUMAN
2006	E7EN65_HUMAN
2006	E7ENM0_HUMAN
2006	ELN_HUMAN
2006	G3V0G6_HUMAN
2006	G5E950_HUMAN
2006	Q59H17_HUMAN
2006	Q6ZUN2_HUMAN
2006	Q8NBI4_HUMAN
3984	LIMK1_HUMAN
7461	A7E2F7_HUMAN
7461	CLIP2_HUMAN
79658	RHG10_HUMAN
10344	CCL26_HUMAN
6369	CCL24_HUMAN
9771	A8MQ07_HUMAN
9771	Q5JPD2_HUMAN
9771	RPGF5_HUMAN
55975	A8K364_HUMAN
55975	KLHL7_HUMAN
26031	OSBL3_HUMAN
155435	RBM33_HUMAN
5446	PON3_HUMAN
196	AHR_HUMAN
81553	FA49A_HUMAN
3486	B3KPF0_HUMAN
3486	IBP3_HUMAN
9238	B3KM73_HUMAN
9238	B3KRS4_HUMAN
9238	B4DU42_HUMAN
9238	TBRG4_HUMAN
55744	COA1_HUMAN
1080	CFTR_HUMAN
7982	ST7_HUMAN
7982	X5DRA0_HUMAN
83992	CTTB2_HUMAN
83992	Q20BG9_HUMAN
4698	NDUA5_HUMAN
11062	A4D0R5_HUMAN
11062	DUS4L_HUMAN
26959	B4DJ36_HUMAN
26959	HBP1_HUMAN
1956	EGFR_HUMAN
79027	D6W5T3_HUMAN
79027	Q68DU4_HUMAN
79027	ZN655_HUMAN
64816	CP343_HUMAN
64816	Q495Y1_HUMAN
64816	Q75MK3_HUMAN
9551	ATPK_HUMAN
25879	DCA13_HUMAN
83988	B2RB70_HUMAN
83988	NCALD_HUMAN
51435	SCAR3_HUMAN
23484	LERL1_HUMAN
23484	Q6FHL7_HUMAN
4609	MYC_HUMAN
25962	VIR_HUMAN
1585	C11B2_HUMAN
9583	ENTP4_HUMAN
284	ANGP1_HUMAN
51105	F8W9L8_HUMAN
51105	P20L1_HUMAN
51105	Q9H8G4_HUMAN
84985	FA83A_HUMAN
84376	HOOK3_HUMAN
444	ASPH_HUMAN
444	B4DQ07_HUMAN
444	B7ZM96_HUMAN
286	ANK1_HUMAN
286	B3KX39_HUMAN
137970	UNC5D_HUMAN
7013	TERF1_HUMAN
23024	B7ZAG0_HUMAN
23024	PZRN3_HUMAN
1960	B4DH80_HUMAN
1960	EGR3_HUMAN
9639	ARHGA_HUMAN
862	B2R6I9_HUMAN
862	MTG8_HUMAN
862	W8FW32_HUMAN
6503	SLAP1_HUMAN
4796	TONSL_HUMAN
7373	COEA1_HUMAN
54714	CNGB3_HUMAN
23404	A3KFL4_HUMAN
23404	B3KQW2_HUMAN
23404	EXOS2_HUMAN
83549	Q5JT09_HUMAN
83549	UCK1_HUMAN
54829	ASPN_HUMAN
54829	B4E2Z7_HUMAN
1842	ECM2_HUMAN
4781	NFIB_HUMAN
4781	Q5VW26_HUMAN
4781	Q5VW27_HUMAN
4781	Q5VW28_HUMAN
4781	Q5VW30_HUMAN
6019	REL2_HUMAN
6505	EAA3_HUMAN
9925	Q5T942_HUMAN
9925	ZBTB5_HUMAN
10020	GLCNE_HUMAN
7169	A7XZE4_HUMAN
7169	Q5TCU3_HUMAN
7169	TPM2_HUMAN
7169	V9HW25_HUMAN
9853	RUSC2_HUMAN
54566	E41LB_HUMAN
54566	Q59GC2_HUMAN
54566	Q9NSG9_HUMAN
54566	Q9NX84_HUMAN
54942	F206A_HUMAN
114299	PALM2_HUMAN
79987	B3KQM1_HUMAN
79987	Q5JB40_HUMAN
79987	SVEP1_HUMAN
64420	F8WAQ1_HUMAN
64420	SUSD1_HUMAN
2218	B4E2W4_HUMAN
2218	FKTN_HUMAN
23446	CTL1_HUMAN
9830	TRI14_HUMAN
8555	CC14B_HUMAN
8019	BRD3_HUMAN
4300	AF9_HUMAN
55312	B2RDZ2_HUMAN
55312	RIFK_HUMAN
140803	TRPM6_HUMAN
54914	B3KNV9_HUMAN
54914	FOCAD_HUMAN
2220	FCN2_HUMAN
81689	ISCA1_HUMAN
1030	CDN2B_HUMAN
1030	K7PPU3_HUMAN
8328	GFI1B_HUMAN
79109	SIN1_HUMAN
2516	F1D8R8_HUMAN
2516	STF1_HUMAN
10783	NEK6_HUMAN
5742	PGH1_HUMAN
84688	SMRP1_HUMAN
6418	Q5VXV3_HUMAN
6418	SET_HUMAN
10868	UBP20_HUMAN
79269	DCA10_HUMAN
1503	PYRG1_HUMAN
6136	RL12_HUMAN
8818	DPM2_HUMAN
203	KAD1_HUMAN
203	Q5T9B7_HUMAN
203	Q6FGX9_HUMAN
23230	VP13A_HUMAN
1318	COPT2_HUMAN
1318	Q53X94_HUMAN
210	HEM2_HUMAN
210	Q6ZMU0_HUMAN
55634	KRBX4_HUMAN
9947	MAGC1_HUMAN
7355	A6NFI1_HUMAN
7355	A6NKM8_HUMAN
7355	B4DE15_HUMAN
7355	S35A2_HUMAN
7216	B4DK08_HUMAN
7216	G5E9N2_HUMAN
7216	Q9BX88_HUMAN
7216	Q9BX90_HUMAN
7216	Q9BX91_HUMAN
7216	TROP_HUMAN
11326	VSIG4_HUMAN
84631	B3KTY4_HUMAN
84631	SLIK2_HUMAN
27035	A6NGA6_HUMAN
27035	NOX1_HUMAN
27035	Q1ZYL4_HUMAN
7552	Q6PK66_HUMAN
7552	ZN711_HUMAN
2258	A8K1P5_HUMAN
2258	FGF13_HUMAN
5613	PRKX_HUMAN
102157402	KAD6_HUMAN
4112	MAGB1_HUMAN
115201	ATG4A_HUMAN
1288	A8VPY0_HUMAN
1288	B2RTX6_HUMAN
1288	B7ZMM7_HUMAN
1288	CO4A6_HUMAN
1288	F5H3Q5_HUMAN
1288	F5H851_HUMAN
8905	AP1S2_HUMAN
8905	B7Z3M9_HUMAN
8905	Q549M9_HUMAN
395	Q59HG6_HUMAN
395	RHG06_HUMAN
2334	AFF2_HUMAN
56344	CABP5_HUMAN
3423	B4DGD7_HUMAN
3423	IDS_HUMAN
54857	GDPD2_HUMAN
9189	ZBED1_HUMAN
11279	KLF8_HUMAN
11279	Q05BZ3_HUMAN
4107	B2R9W4_HUMAN
4107	MAGA8_HUMAN
2182	ACSL4_HUMAN
827	CAN6_HUMAN
6173	J3KQN4_HUMAN
6173	RL36A_HUMAN
54457	TAF7L_HUMAN
1678	TIM8A_HUMAN
79184	BRCC3_HUMAN
6134	RL10_HUMAN
8908	B3KUV6_HUMAN
8908	GLYG2_HUMAN
8908	Q1ZYL7_HUMAN
414	ARSD_HUMAN
357	SHRM2_HUMAN
10943	MS3L1_HUMAN
6004	RGS16_HUMAN
63899	NSUN3_HUMAN
81669	CCNL2_HUMAN
2948	GSTM4_HUMAN
10638	SPHAR_HUMAN
64072	A5D6V9_HUMAN
64072	CAD23_HUMAN
64072	Q6P152_HUMAN
64072	Q8N5B3_HUMAN
3098	A8K7J7_HUMAN
3098	B3KXY9_HUMAN
3098	HXK1_HUMAN
3098	P78542_HUMAN
3098	Q59FD4_HUMAN
51111	SV421_HUMAN
5553	A6XMW0_HUMAN
5553	PRG2_HUMAN
3798	KIF5A_HUMAN
3852	K2C5_HUMAN
8302	NKG2F_HUMAN
54477	PKHA5_HUMAN
54407	S38A2_HUMAN
53373	B7Z3R2_HUMAN
53373	TPC1_HUMAN
64062	RBM26_HUMAN
51700	NB5R2_HUMAN
5265	A1AT_HUMAN
5265	E9KL23_HUMAN
64423	INF2_HUMAN
55671	P4R3A_HUMAN
55671	Q8N6W1_HUMAN
825	CAN3_HUMAN
3931	LCAT_HUMAN
54925	B4DWL5_HUMAN
54925	ZSC32_HUMAN
26502	NARF_HUMAN
1534	B3KTA1_HUMAN
1534	CY561_HUMAN
1534	F5H757_HUMAN
1534	J3QS47_HUMAN
10517	FBW10_HUMAN
6359	CCL15_HUMAN
3682	ITAE_HUMAN
1267	CN37_HUMAN
9552	I3L0X5_HUMAN
9552	SPAG7_HUMAN
124995	RM10_HUMAN
7769	B2RBM0_HUMAN
7769	ZN226_HUMAN
4680	CEAM6_HUMAN
3609	ILF3_HUMAN
29950	Q53GC0_HUMAN
29950	SRTD1_HUMAN
80776	B9D2_HUMAN
51398	ASTER_HUMAN
3972	LSHB_HUMAN
84658	A1L1B9_HUMAN
84658	B7Z5A1_HUMAN
84658	E7EW83_HUMAN
84658	EMR3_HUMAN
84658	Q0IJ53_HUMAN
79411	B4DTH1_HUMAN
79411	GLB1L_HUMAN
4862	A2I2P5_HUMAN
4862	F5H027_HUMAN
4862	NPAS2_HUMAN
9669	IF2P_HUMAN
9669	Q8N5A0_HUMAN
129807	B3KR54_HUMAN
129807	NEUR4_HUMAN
129807	Q3KR05_HUMAN
84220	RGPD5_HUMAN
84220	V9HWE4_HUMAN
8771	TNF6B_HUMAN
84619	ZGPAT_HUMAN
10406	WFDC2_HUMAN
79175	ZN343_HUMAN
9946	QORL1_HUMAN
54584	GNB1L_HUMAN
5880	RAC2_HUMAN
5880	V9H0H7_HUMAN
10521	DDX17_HUMAN
10521	Q59F66_HUMAN
63929	XPP3_HUMAN
23264	Z3H7B_HUMAN
1375	A5PLL0_HUMAN
1375	CPT1B_HUMAN
1375	Q53FV7_HUMAN
10721	DPOLQ_HUMAN
10721	Q59EE4_HUMAN
55768	NGLY1_HUMAN
25890	D3YTG3_HUMAN
25890	TARSH_HUMAN
1981	B2RU06_HUMAN
1981	B2RU10_HUMAN
1981	B4DSI9_HUMAN
1981	IF4G1_HUMAN
1981	O95065_HUMAN
1981	Q96I65_HUMAN
5098	PCDGK_HUMAN
5098	Q9BR81_HUMAN
56134	PCDC2_HUMAN
64924	ZNT5_HUMAN
10016	PDCD6_HUMAN
10016	Q53FC3_HUMAN
89845	MRP7_HUMAN
63940	GPSM3_HUMAN
7551	Q86U76_HUMAN
7551	ZNF3_HUMAN
2039	B4DI75_HUMAN
2039	DEMA_HUMAN
1211	CLCA_HUMAN
5998	B3KVT7_HUMAN
5998	B3KWG8_HUMAN
5998	H7BXY1_HUMAN
5998	Q53GP3_HUMAN
5998	RGS3_HUMAN
55511	SAGE1_HUMAN
1464	CSPG4_HUMAN
9963	S23A1_HUMAN
51347	TAOK3_HUMAN
5747	E7ESA6_HUMAN
5747	FAK1_HUMAN
5747	Q59GM6_HUMAN
5747	Q658W2_HUMAN
5339	PLEC_HUMAN
9001	HAP1_HUMAN
646	BNC1_HUMAN
646	F5GY04_HUMAN
5576	KAP2_HUMAN
5576	Q9BUB1_HUMAN
1978	4EBP1_HUMAN
140465	MYL6B_HUMAN
54971	B3KM38_HUMAN
54971	B4DE54_HUMAN
54971	BANP_HUMAN
54971	Q9NSS6_HUMAN
65983	GRAM3_HUMAN
55691	FRM4A_HUMAN
2917	B2R693_HUMAN
2917	B9EGG9_HUMAN
2917	GRM7_HUMAN
2917	Q59G95_HUMAN
26000	TB10B_HUMAN
6102	XRP2_HUMAN
5199	PROP_HUMAN
54552	GNL3L_HUMAN
54552	Q05DU1_HUMAN
1121	RAE1_HUMAN
89885	FATE1_HUMAN
84660	CCD62_HUMAN
23157	B1AMS2_HUMAN
23157	Q541S4_HUMAN
23157	Q548C9_HUMAN
23157	SEPT6_HUMAN
10479	SL9A6_HUMAN
27112	F155B_HUMAN
10800	CLTR1_HUMAN
10800	Q38Q88_HUMAN
10800	Q38Q91_HUMAN
6845	VAMP7_HUMAN
51309	ARMX1_HUMAN
5744	PTHR_HUMAN
5744	Q53XY9_HUMAN
6473	SHOX_HUMAN
54539	NDUBB_HUMAN
728137	F2Z2I4_HUMAN
728137	TSPY1_HUMAN
728137	TSPY3_HUMAN
6866	TKNK_HUMAN
54858	PGPI_HUMAN
54858	U3KQ24_HUMAN
148867	ZNT7_HUMAN
2782	B3KVK2_HUMAN
2782	GBB1_HUMAN
92797	HELB_HUMAN
4802	NFYC_HUMAN
7268	TTC4_HUMAN
4898	B1AKJ5_HUMAN
4898	G3V1R5_HUMAN
4898	NRDC_HUMAN
4898	Q6UUU9_HUMAN
54987	CA123_HUMAN
7809	BSND_HUMAN
7809	Q5VU50_HUMAN
2703	CXA8_HUMAN
2703	X5D7G1_HUMAN
6280	S10A9_HUMAN
10561	IFI44_HUMAN
5132	PHOS_HUMAN
5132	Q52LP8_HUMAN
7579	ZSC20_HUMAN
8073	TP4A2_HUMAN
3020	B2R4P9_HUMAN
3020	H33_HUMAN
55966	AJAP1_HUMAN
23109	DEND_HUMAN
192670	AGO4_HUMAN
65018	PINK1_HUMAN
10459	MD2L2_HUMAN
1647	A5JUZ3_HUMAN
1647	GA45A_HUMAN
92241	B7ZKW8_HUMAN
92241	CPZIP_HUMAN
6258	F1D8Q7_HUMAN
6258	F1T097_HUMAN
6258	RXRG_HUMAN
5317	PKP1_HUMAN
2330	FMO5_HUMAN
9156	EXO1_HUMAN
10962	AF1Q_HUMAN
10962	Q6FGF7_HUMAN
51018	RRP15_HUMAN
64834	ELOV1_HUMAN
5546	A6NG79_HUMAN
5546	PRCC_HUMAN
5546	Q96FT4_HUMAN
64218	SEM4A_HUMAN
79180	EFHD2_HUMAN
54751	FBLI1_HUMAN
128372	OR6N1_HUMAN
128360	O10T2_HUMAN
79871	RPAP2_HUMAN
23468	CBX5_HUMAN
23468	V9HWG0_HUMAN
8394	A6PW57_HUMAN
8394	PI51A_HUMAN
27173	B4DDY7_HUMAN
27173	S39A1_HUMAN
56998	CNBP1_HUMAN
278	AMY1_HUMAN
84069	PKHN1_HUMAN
255231	MCLN2_HUMAN
7391	USF1_HUMAN
54873	PALMD_HUMAN
11311	B7Z360_HUMAN
11311	B7Z5D4_HUMAN
11311	B7Z5E4_HUMAN
11311	F5H8K1_HUMAN
11311	VPS45_HUMAN
9900	B4E000_HUMAN
9900	SV2A_HUMAN
22911	WDR47_HUMAN
23421	CENPR_HUMAN
4653	MYOC_HUMAN
127124	VATG3_HUMAN
7779	ZNT1_HUMAN
947	CD34_HUMAN
59352	LGR6_HUMAN
1600	DAB1_HUMAN
84265	RPC7L_HUMAN
89884	LHX4_HUMAN
60676	PAPP2_HUMAN
824	B4DN77_HUMAN
824	CAN2_HUMAN
824	Q59EF6_HUMAN
1326	M3K8_HUMAN
118738	ZN488_HUMAN
283349	RASF3_HUMAN
80013	F188A_HUMAN
4143	METK1_HUMAN
3433	IFIT2_HUMAN
3433	Q05DN2_HUMAN
3195	TLX1_HUMAN
54805	CNNM2_HUMAN
64115	GI24_HUMAN
5408	LIPR2_HUMAN
5328	Q59GZ8_HUMAN
5328	UROK_HUMAN
22943	DKK1_HUMAN
22943	I1W660_HUMAN
6865	NK2R_HUMAN
221074	B7Z2Y9_HUMAN
221074	F5GX72_HUMAN
221074	S39AC_HUMAN
84795	PYRD2_HUMAN
54619	CCNJ_HUMAN
23223	B3KMR5_HUMAN
23223	RRP12_HUMAN
118856	MMP21_HUMAN
23232	TBC12_HUMAN
55110	F5H6P7_HUMAN
55110	MGN2_HUMAN
94233	OPN4_HUMAN
57084	VGLU2_HUMAN
719	A8K2H7_HUMAN
719	C3AR_HUMAN
222	AL3B2_HUMAN
143662	E9PII6_HUMAN
143662	F8W945_HUMAN
143662	MUC15_HUMAN
91252	S39AD_HUMAN
54851	ANR49_HUMAN
55611	B3KUV5_HUMAN
55611	OTUB1_HUMAN
283234	B2RTU8_HUMAN
283234	CC88B_HUMAN
8722	CATF_HUMAN
1717	DHCR7_HUMAN
57689	LRC4C_HUMAN
57689	Q4JIV9_HUMAN
57689	Q4JIW0_HUMAN
10329	G3V1K2_HUMAN
10329	TMEM5_HUMAN
8048	A2TDB8_HUMAN
